category,name,origin
Grape,Cabernet Sauvignon,Bordeaux
Grape,Merlot,Bordeaux
Grape,Chardonnay,Burgundy
Grape,Sauvignon Blanc,Loire
Grape,Pinot Noir,Burgundy
Grape,Syrah / Shiraz,Rhone
Grape,Tempranillo,Spain
Grape,Garnacha / Grenache,Spain
Grape,Sangiovese,Tuscany
Grape,Nebbiolo,Piedmont
Grape,Riesling,Germany
Grape,Zinfandel,California
Olive,Picual,Spain
Olive,Arbequina,Spain
Olive,Hojiblanca,Spain
Olive,Cornicabra,Spain
Olive,Koroneiki,Greece
Olive,Frantoio,Italy
Olive,Leccino,Italy
Olive,Manzanilla,Spain
Olive,Galega,Portugal
Olive,Cobrançosa,Portugal
Olive,Kalamata,Greece
Olive,Nocellara del Belice,Italy
Nut,Almond,Mediterranean
Nut,Hazelnut,Turkey
Nut,Walnut,Persia
Nut,Chestnut,Europe
Berry,Strawberry,Europe
Berry,Blueberry,North America
Berry,Raspberry,Europe
Fruit,Apple,Central Asia
Fruit,Pear,Central Asia
Fruit,Peach,China
Fruit,Plum,Europe
Citrus,Orange,China
Citrus,Lemon,Asia
Citrus,Lime,Asia
Citrus,Mandarin,China
Vegetable,Tomato,Americas
Vegetable,Potato,South America
Vegetable,Onion,Central Asia
Grain,Wheat,Fertile Crescent
Grain,Barley,Fertile Crescent
Grain,Corn / Maize,Americas
Grain,Rice,Asia
